point_time,point_val
2024/01/01 08:00,95.2
2024/01/01 09:00,98.94
2024/01/01 10:00,101.11
2024/01/01 11:00,99.06
2024/01/01 12:00,95.24
2024/01/01 13:00,95.06
2024/01/01 14:00,104.27
2024/01/01 15:00,95.58
2024/01/01 16:00,102.86
2024/01/01 17:00,97.52
2024/01/01 18:00,101.66
2024/01/01 19:00,100.39
2024/01/01 20:00,102.56
2024/01/01 21:00,98.3
2024/01/01 22:00,100.78
2024/01/01 23:00,101.71
2024/01/02 00:00,96.85
2024/01/02 01:00,99.19
2024/01/02 02:00,102.22
2024/01/02 03:00,103.02
2024/01/02 04:00,97.15
2024/01/02 05:00,100.38
2024/01/02 06:00,103.96
2024/01/02 07:00,95.06
2024/01/02 08:00,102.82
2024/01/02 09:00,100.94
2024/01/02 10:00,100.41
2024/01/02 11:00,101.05
2024/01/02 12:00,98.66
2024/01/02 13:00,98.37
