point_time,point_val,Batch_ID,ByTool
2025/2/5,9.7,BATCH-20240204-159,A
2025/2/7,12.6,BATCH-20240405-211,B
2025/2/9,13.7,BATCH-20240422-690,C
2025/2/11,12.2,BATCH-20240605-202,A
2025/2/13,8.6,BATCH-20240612-052,B
2025/2/15,7.3,BATCH-20240709-636,C
2025/2/17,10.3,BATCH-20240725-869,A
2025/2/19,5.9,BATCH-20240728-965,B
2025/2/21,11.8,BATCH-20240807-636,C
2025/2/23,6.1,BATCH-20241004-255,A
2025/2/25,11.7,BATCH-20241006-294,B
2025/2/27,11.4,BATCH-20241012-129,C
2025/3/1,11.7,BATCH-20241021-834,A
2025/3/3,8.3,BATCH-20241211-529,B
2025/3/5,9.2,BATCH-20241222-273,C
2025/3/7,13.6,BATCH-20250109-310,A
2025/3/9,6.4,BATCH-20250120-056,B
2025/3/11,11.6,BATCH-20250406-581,C
2025/3/13,7,BATCH-20250416-273,A
2025/3/15,11.4,BATCH-20250416-371,B
2025/3/17,14.4,BATCH-20250418-421,C
2025/3/19,14.4,BATCH-20250518-285,A
2025/3/21,11.2,BATCH-20250607-207,B
2025/3/23,13.4,BATCH-20250608-992,C
2025/3/25,9.6,BATCH-20250704-209,A
2025/3/27,8.7,BATCH-20250716-554,B
2025/3/29,8.8,BATCH-20250726-721,C
2025/3/31,8.9,BATCH-20250917-923,A
2025/4/2,9,BATCH-20251006-574,B
2025/4/4,9.1,BATCH-20251106-183,C
2025/4/6,9.2,BATCH-20251206-793,A
2025/4/8,9.3,BATCH-20251218-261,B
2025/4/10,9.4,BATCH-20251223-860,C
2025/4/12,9.5,BATCH-20251206-794,A
2025/4/14,9.6,BATCH-20251218-262,B
2025/4/16,9.7,BATCH-20251223-861,C
2025/4/18,9.8,BATCH-20251206-795,A
2025/4/20,9.9,BATCH-20251218-263,B
2025/4/22,10,BATCH-20251223-862,C
2025/4/24,10.1,BATCH-20251206-796,A
2025/4/26,3.5,BATCH-20251223-863,
2025/4/28,3.5,BATCH-20251206-797,
2025/4/30,3.5,BATCH-20251223-864,
