point_time,point_val
2024/01/01 08:00,103.65
2024/01/01 09:00,95.34
2024/01/01 10:00,98.12
2024/01/01 11:00,95.67
2024/01/01 12:00,104.82
2024/01/01 13:00,96.38
2024/01/01 14:00,95.91
2024/01/01 15:00,97.61
2024/01/01 16:00,98.28
2024/01/01 17:00,96.83
2024/01/01 18:00,103.55
2024/01/01 19:00,98.66
2024/01/01 20:00,96.87
2024/01/01 21:00,99.47
2024/01/01 22:00,97.58
2024/01/01 23:00,97.43
2024/01/02 00:00,97.74
2024/01/02 01:00,101.63
2024/01/02 02:00,104.57
2024/01/02 03:00,97.77
2024/01/02 04:00,95.38
2024/01/02 05:00,104.97
2024/01/02 06:00,95.77
2024/01/02 07:00,96.1
2024/01/02 08:00,96.26
2024/01/02 09:00,99.15
2024/01/02 10:00,97.49
2024/01/02 11:00,99.63
2024/01/02 12:00,95.5
2024/01/02 13:00,99.61
